Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,14,3,741,730,912,849,PS,1451,NA,91,79,NA,23,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,729,730,903,849,PS,1451,NA,94,79,NA,14,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,741,730,918,849,PS,1451,NA,97,79,NA,29,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1520,1505,1624,1608,PS,1453,NA,64,63,NA,16,15,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1508,1505,1615,1608,PS,1453,NA,67,63,NA,7,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1526,1505,1625,1608,PS,1453,NA,59,63,NA,17,21,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1504,1505,1602,1608,PS,1453,NA,58,63,NA,-6,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1505,1505,1607,1608,PS,1453,NA,62,63,NA,-1,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,851,830,1008,937,PS,1457,NA,77,67,NA,31,21,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,831,830,948,937,PS,1457,NA,77,67,NA,11,1,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,833,830,932,937,PS,1457,NA,59,67,NA,-5,3,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,NA,830,NA,937,PS,1457,NA,NA,67,NA,NA,NA,LAX,SFO,337,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,843,830,952,937,PS,1457,NA,69,67,NA,15,13,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1839,1830,1949,1929,PS,1460,NA,70,59,NA,20,9,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,1830,1830,1930,1929,PS,1460,NA,60,59,NA,1,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1830,1830,1934,1929,PS,1460,NA,64,59,NA,5,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1834,1830,1944,1929,PS,1460,NA,70,59,NA,15,4,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1828,1830,1943,1929,PS,1460,NA,75,59,NA,14,-2,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1907,1850,2015,1957,PS,1463,NA,68,67,NA,18,17,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1852,1850,2004,1957,PS,1463,NA,72,67,NA,7,2,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1858,1850,2002,1957,PS,1463,NA,64,67,NA,5,8,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1849,1850,1950,1957,PS,1463,NA,61,67,NA,-7,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1559,1515,1702,1611,PS,1464,NA,63,56,NA,51,44,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1525,1515,1636,1611,PS,1464,NA,71,56,NA,25,10,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1518,1515,1620,1611,PS,1464,NA,62,56,NA,9,3,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,2003,2000,2058,2059,PS,1465,NA,55,59,NA,-1,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,2000,2000,2100,2059,PS,1465,NA,60,59,NA,1,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,2040,2000,2136,2059,PS,1465,NA,56,59,NA,37,40,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,2000,2000,2055,2059,PS,1465,NA,55,59,NA,-4,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1959,2000,2055,2059,PS,1465,NA,56,59,NA,-4,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1817,1810,1950,1927,TW,54,NA,153,137,NA,23,7,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1809,1810,2000,1927,TW,54,NA,171,137,NA,33,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1812,1810,1951,1927,TW,54,NA,159,137,NA,24,2,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1812,1810,1944,1927,TW,54,NA,152,137,NA,17,2,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1809,1810,1952,1927,TW,54,NA,163,137,NA,25,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1810,1810,1926,1927,TW,54,NA,136,137,NA,-1,0,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1810,1810,1939,1940,TW,54,NA,149,150,NA,-1,0,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1830,1810,2014,1940,TW,54,NA,164,150,NA,34,20,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1809,1810,2004,1940,TW,54,NA,175,150,NA,24,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1811,1810,1947,1940,TW,54,NA,156,150,NA,7,1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1809,1810,1945,1940,TW,54,NA,156,150,NA,5,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1812,1810,1931,1940,TW,54,NA,139,150,NA,-9,2,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,2029,2026,2301,2255,TW,54,NA,92,89,NA,6,3,STL,CLE,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,2029,2026,2307,2255,TW,54,NA,98,89,NA,12,3,STL,CLE,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,2036,2026,2307,2256,TW,54,NA,91,90,NA,11,10,STL,CLE,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,2032,2026,2258,2255,TW,54,NA,86,89,NA,3,6,STL,CLE,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1903,1849,2024,2005,TW,55,NA,141,136,NA,19,14,STL,COS,774,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1853,1849,1959,2005,TW,55,NA,126,136,NA,-6,4,STL,COS,774,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1855,1849,2037,2005,TW,55,NA,162,136,NA,32,6,STL,COS,774,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1849,1849,2010,2005,TW,55,NA,141,136,NA,5,0,STL,COS,774,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,910,910,1020,1020,TW,59,NA,70,70,NA,0,0,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,913,910,1030,1020,TW,59,NA,77,70,NA,10,3,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,909,910,1011,1020,TW,59,NA,62,70,NA,-9,-1,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,923,910,1032,1020,TW,59,NA,69,70,NA,12,13,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,909,910,1028,1020,TW,59,NA,79,70,NA,8,-1,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,911,910,1026,1020,TW,59,NA,75,70,NA,6,1,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,910,910,1025,1020,TW,59,NA,75,70,NA,5,0,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,915,910,1024,1020,TW,59,NA,69,70,NA,4,5,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,911,910,1019,1020,TW,59,NA,68,70,NA,-1,1,MKE,STL,317,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,900,900,1150,1120,UA,21,NA,350,320,NA,30,0,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,858,900,1121,1120,UA,21,NA,323,320,NA,1,-2,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,927,900,1159,1120,UA,21,NA,332,320,NA,39,27,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,905,900,1136,1120,UA,21,NA,331,320,NA,16,5,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,904,900,1157,1120,UA,21,NA,353,320,NA,37,4,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,903,900,1147,1120,UA,21,NA,344,320,NA,27,3,IAD,SFO,2419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,719,720,806,810,UA,21,NA,47,50,NA,-4,-1,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,718,720,815,810,UA,21,NA,57,50,NA,5,-2,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,811,720,858,810,UA,21,NA,47,50,NA,48,51,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,718,720,816,810,UA,21,NA,58,50,NA,6,-2,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,719,720,816,810,UA,21,NA,57,50,NA,6,-1,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,718,720,805,810,UA,21,NA,47,50,NA,-5,-2,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,720,720,822,810,UA,21,NA,62,50,NA,12,0,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,714,715,758,807,UA,21,NA,44,52,NA,-9,-1,PHL,IAD,134,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1312,1250,2102,2050,UA,22,NA,290,300,NA,12,22,SEA,JFK,2421,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,2331,2145,746,556,UA,24,NA,315,311,NA,110,106,SFO,JFK,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,2144,2145,602,556,UA,24,NA,318,311,NA,6,-1,SFO,JFK,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,2145,2145,550,549,UA,24,NA,305,304,NA,1,0,SFO,JFK,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1059,1100,1351,1353,UA,25,NA,352,353,NA,-2,-1,JFK,SFO,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1059,1100,1346,1353,UA,25,NA,347,353,NA,-7,-1,JFK,SFO,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,1100,1100,1341,1353,UA,25,NA,341,353,NA,-12,0,JFK,SFO,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1100,1100,1339,1353,UA,25,NA,339,353,NA,-14,0,JFK,SFO,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1057,1100,1334,1353,UA,25,NA,337,353,NA,-19,-3,JFK,SFO,2586,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,634,635,913,904,UA,840,NA,99,89,NA,9,-1,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,637,635,911,904,UA,840,NA,94,89,NA,7,2,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,635,635,912,904,UA,840,NA,97,89,NA,8,0,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,635,635,914,904,UA,840,NA,99,89,NA,10,0,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,635,635,919,904,UA,840,NA,104,89,NA,15,0,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,636,635,917,904,UA,840,NA,101,89,NA,13,1,ORD,IAD,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1004,1005,1029,1031,UA,866,NA,25,26,NA,-2,-1,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1005,1005,1028,1031,UA,866,NA,23,26,NA,-3,0,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1002,1005,1032,1031,UA,866,NA,30,26,NA,1,-3,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1006,1005,1042,1031,UA,866,NA,36,26,NA,11,1,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1005,1005,1031,1031,UA,866,NA,26,26,NA,0,0,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1001,1005,1032,1031,UA,866,NA,31,26,NA,1,-4,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,1005,1005,1026,1031,UA,866,NA,21,26,NA,-5,0,DCA,IAD,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1148,1145,1218,1220,WN,18,NA,90,95,NA,-2,3,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1145,1145,1208,1220,WN,18,NA,83,95,NA,-12,0,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1145,1145,1205,1220,WN,18,NA,80,95,NA,-15,0,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1145,1145,1215,1220,WN,18,NA,90,95,NA,-5,0,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,1157,1145,1228,1220,WN,18,NA,91,95,NA,8,12,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1145,1145,1212,1220,WN,18,NA,87,95,NA,-8,0,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1145,1145,1214,1220,WN,18,NA,89,95,NA,-6,0,DAL,ELP,562,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1100,1100,1149,1155,WN,20,NA,49,55,NA,-6,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1125,1100,1209,1155,WN,20,NA,44,55,NA,14,25,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1100,1100,1154,1155,WN,20,NA,54,55,NA,-1,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1100,1100,1148,1155,WN,20,NA,48,55,NA,-7,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,615,615,724,725,WN,20,NA,69,70,NA,-1,0,MDW,BNA,395,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,615,615,724,725,WN,20,NA,69,70,NA,-1,0,MDW,BNA,395,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,615,615,730,725,WN,20,NA,75,70,NA,5,0,MDW,BNA,395,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,615,615,724,725,WN,20,NA,69,70,NA,-1,0,MDW,BNA,395,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,615,615,725,725,WN,20,NA,70,70,NA,0,0,MDW,BNA,395,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1130,1130,1222,1225,WN,22,NA,52,55,NA,-3,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1130,1130,1223,1225,WN,22,NA,53,55,NA,-2,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1130,1130,1220,1225,WN,22,NA,50,55,NA,-5,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1130,1130,1220,1225,WN,22,NA,50,55,NA,-5,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1130,1130,1220,1225,WN,22,NA,50,55,NA,-5,0,HOU,DAL,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1050,1050,1148,1150,WN,23,NA,58,60,NA,-2,0,AMA,DAL,324,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1050,1050,1146,1150,WN,23,NA,56,60,NA,-4,0,AMA,DAL,324,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,1050,1050,1143,1150,WN,23,NA,53,60,NA,-7,0,AMA,DAL,324,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1120,1110,1309,1305,EA,707,NA,109,115,NA,4,10,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,1110,1110,1258,1305,EA,707,NA,108,115,NA,-7,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1110,1110,1301,1305,EA,707,NA,111,115,NA,-4,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1110,1110,1306,1305,EA,707,NA,116,115,NA,1,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1110,1110,1253,1305,EA,707,NA,103,115,NA,-12,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1110,1110,1252,1305,EA,707,NA,102,115,NA,-13,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1110,1110,1252,1305,EA,707,NA,102,115,NA,-13,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1110,1110,1256,1305,EA,707,NA,106,115,NA,-9,0,BUF,ATL,712,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,701,701,831,835,EA,1624,NA,90,94,NA,-4,0,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,701,701,829,835,EA,1624,NA,88,94,NA,-6,0,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,750,701,928,835,EA,1624,NA,98,94,NA,53,49,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,705,701,835,835,EA,1624,NA,90,94,NA,0,4,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,701,701,835,835,EA,1624,NA,94,94,NA,0,0,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,701,701,850,835,EA,1624,NA,109,94,NA,15,0,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,701,701,839,835,EA,1624,NA,98,94,NA,4,0,PBI,ATL,545,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,709,709,836,826,EA,1634,NA,87,77,NA,10,0,MLB,ATL,443,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,709,709,823,826,EA,1634,NA,74,77,NA,-3,0,MLB,ATL,443,NA,NA,0,NA,0,NA,NA,NA,NA,NA
